website,snapshot_number,snapshot_date,start_date_str,end_date_str,ttt,los,name,rating,price,reviews_amount
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Wingate by Wyndham New York Midtown South/5th Ave,8.6,$186 total,"1,002 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Penny Williamsburg,9.6,$237 total,445 reviews
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Courtyard New York Manhattan/Times Square West,9.0,$188 total,"1,002 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,"PUBLIC, an Ian Schrager hotel",8.2,$266 total,"2,487 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Hilton Garden Inn New York Times Square South,9.0,$174 total,"2,879 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Doubletree by Hilton New York Times Square South,8.8,$209 total,"3,496 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Hyatt Place New York Midtown South,8.8,$186 total,"1,119 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Moxy NYC Downtown,8.6,$164 total,"1,004 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Courtyard New York Manhattan/ Midtown East,8.8,$266 total,"1,915 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Hotel St. James,8.6,$179 total,"4,033 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Hilton Garden Inn New York/Midtown Park Ave,8.4,$170 total,"1,006 reviews"
Expedia,1,11 May 2024,"Sunday, May 12, 2024","Monday, May 13, 2024",1,1,Courtyard New York Manhattan/Times Square West,9.0,$188 total,"1,002 reviews"
