website,snapshot_number,snapshot_date,start_date_str,end_date_str,ttt,los,name,rating,price,reviews_amount
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Pod 51,"7.8
Scored 7.8",₪ 632,"10,744 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Place New York/Midtown-South,"8.2
Scored 8.2",₪ 693,"3,209 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Place New York City/Times Square,"7.6
Scored 7.6",₪ 693,"21,747 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Place NYC Chelsea,"7.9
Scored 7.9",₪ 693,"15,066 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Tuscany by LuxUrban,"7.4
Scored 7.4",₪ 569,"2,297 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,AC Hotel by Marriott New York Downtown,"8.5
Scored 8.5",₪ 608,"1,780 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Delta Hotels by Marriott New York Times Square,"7.7
Scored 7.7",₪ 608,"2,422 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Doubletree By Hilton New York Times Square West,"7.1
Scored 7.1",₪ 651,"14,577 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,The Manhattan at Times Square,"5.6
Scored 5.6",₪ 558,"7,322 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Broadway Plaza Hotel,"8.7
Scored 8.7",₪ 706,830 reviews
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Riu Plaza New York Times Square,"8.4
Scored 8.4",₪ 903,"7,558 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Element Times Square West,"7.7
Scored 7.7",₪ 658,"7,290 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Wingate by Wyndham New York Midtown South/5th Ave,"8.1
Scored 8.1",₪ 659,"2,043 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hilton Garden Inn New York/Midtown Park Avenue,"8.0
Scored 8.0",₪ 633,"1,856 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,"7.4
Scored 7.4",₪ 651,580 reviews
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,"8.5
Scored 8.5",₪ 746,"1,614 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard by Marriott New York Manhattan/Chelsea,"8.3
Scored 8.3",₪ 779,"1,434 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Centric Midtown 5th Avenue New York,"8.1
Scored 8.1",₪ 779,697 reviews
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,"8.2
Scored 8.2",₪ 805,"5,270 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard by Marriott Times Square West,"8.2
Scored 8.2",₪ 700,"2,714 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard by Marriott New York Manhattan/ Fifth Avenue,"8.0
Scored 8.0",₪ 779,"1,224 reviews"
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,"8.1
Scored 8.1",₪ 693,989 reviews
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,"8.4
Scored 8.4",₪ 608,"4,980 reviews"
