website,snapshot_number,snapshot_date,start_date_str,end_date_str,ttt,los,name,rating,price,reviews_amount,weekend,rating_category
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Pod 51,7.8,632,10744,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Place New York/Midtown-South,8.2,693,3209,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Place New York City/Times Square,7.6,693,21747,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Place NYC Chelsea,7.9,693,15066,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Tuscany by LuxUrban,7.4,569,2297,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,AC Hotel by Marriott New York Downtown,8.5,608,1780,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Delta Hotels by Marriott New York Times Square,7.7,608,2422,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Doubletree By Hilton New York Times Square West,7.1,651,14577,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,The Manhattan at Times Square,5.6,558,7322,1,5-6
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Broadway Plaza Hotel,8.7,706,830,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Riu Plaza New York Times Square,8.4,903,7558,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Element Times Square West,7.7,658,7290,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Wingate by Wyndham New York Midtown South/5th Ave,8.1,659,2043,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hilton Garden Inn New York/Midtown Park Avenue,8.0,633,1856,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,7.4,651,580,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,8.5,746,1614,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard by Marriott New York Manhattan/Chelsea,8.3,779,1434,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Centric Midtown 5th Avenue New York,8.1,779,697,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,8.2,805,5270,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard by Marriott Times Square West,8.2,700,2714,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard by Marriott New York Manhattan/ Fifth Avenue,8.0,779,1224,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,8.1,693,989,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,8.4,608,4980,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Four Points by Sheraton Manhattan Midtown West,8.1,728,2231,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,"Hotel Indigo NYC Financial District, an IHG Hotel",8.8,608,1025,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,DoubleTree by Hilton New York Downtown,7.3,608,3991,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,DoubleTree by Hilton New York Times Square South,7.9,779,6030,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Sheraton Tribeca New York Hotel,7.7,864,3258,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,"U Hotel Fifth Avenue, Empire State Building",7.9,541,2957,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,8.0,779,5583,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,The Herald by LuxUrban,7.8,655,6647,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,"The Draper New York, Tapestry Collection by Hilton",8.4,736,1455,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,CIVILIAN Hotel,8.6,779,3582,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Four Points by Sheraton New York Downtown,7.3,565,2366,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,DoubleTree by Hilton New York Midtown Fifth Ave,7.4,736,441,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard by Marriott New York World Trade Center Area,7.8,608,2669,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,NH Collection New York Madison Avenue,8.3,1275,1969,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,AC Hotel by Marriott New York Times Square,8.3,864,742,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard by Marriott New York Manhattan / Soho,7.9,693,311,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Margaritaville Resort Times Square,8.7,1324,3006,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Pod Times Square,8.1,651,21885,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hampton Inn Manhattan-35th St Empire State Bldg,8.2,779,6171,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Royalton New York,7.7,832,2402,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hotel Edison Times Square,7.4,762,15184,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,The Pearl Hotel,8.6,864,1852,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Embassy Suites By Hilton New York Manhattan Times Square,7.8,907,4491,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Renaissance New York Chelsea Hotel,8.0,907,857,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,DoubleTree by Hilton Hotel New York City - Chelsea,7.3,779,2453,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Courtyard New York Manhattan/Times Square,8.2,779,2482,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,7.8,651,1005,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Arlo Midtown,8.7,907,5645,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,"Holiday Inn New York City - Times Square, an IHG Hotel",7.7,586,2133,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hilton Garden Inn New York Central Park South-Midtown West,7.2,864,8277,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,"Holiday Inn Express Manhattan Midtown West, an IHG Hotel",7.0,565,1373,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,"Marriott Vacation Club®, New York City ",8.7,950,340,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,SoHo 54,7.1,608,2697,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,33 Seaport Hotel New York,8.6,1545,479,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Executive Hotel Le Soleil New York,8.4,916,3872,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,45 Times Square Hotel,8.3,762,1491,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,"Dream Downtown, by Hyatt",7.4,912,1393,1,7-8
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,Hyatt Herald Square New York,8.0,800,1303,1,8-9
Booking,1,11 May 2024,12 May 2024,13 May 2024,1,1,The Manhattan Club,8.1,811,3462,1,8-9
