website,snapshot_number,snapshot_date,start_date_str,end_date_str,ttt,los,name,rating,price,index_in_page,reviews_amount
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,West Side YMCA,"6.6
Scored 6.6",₪ 673,1,"13,411 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,NH Collection New York Madison Avenue,"8.3
Scored 8.3","₪ 1,837",2,"2,008 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Margaritaville Resort Times Square,"8.7
Scored 8.7","₪ 1,937",3,"3,115 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,33 Seaport Hotel New York,"8.6
Scored 8.6","₪ 2,214",4,503 reviews
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Royalton New York,"7.7
Scored 7.7","₪ 1,674",5,"2,439 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Artezen Hotel,"9.1
Scored 9.1","₪ 1,649",6,"1,077 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Riu Plaza Manhattan Times Square,"8.6
Scored 8.6","₪ 1,799",7,"11,702 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Four Seasons Hotel New York Downtown,"8.8
Scored 8.8","₪ 4,274",8,145 reviews
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Hyatt Union Square New York,"7.7
Scored 7.7","₪ 2,107",9,280 reviews
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,MADE Hotel,"8.5
Scored 8.5","₪ 2,021",10,"1,117 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Soho Grand Hotel,"8.3
Scored 8.3","₪ 2,747",11,"1,771 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Nolitan Hotel SoHo - New York,"8.0
Scored 8.0","₪ 1,608",12,"1,378 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,The St. Regis New York,"8.7
Scored 8.7","₪ 3,263",13,139 reviews
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Tempo By Hilton New York Times Square,"8.5
Scored 8.5","₪ 1,940",14,636 reviews
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection","8.7
Scored 8.7","₪ 1,619",15,943 reviews
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Equinox Hotel Hudson Yards New York City,"9.0
Scored 9.0","₪ 4,261",16,381 reviews
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Courtyard by Marriott New York Manhattan/ Fifth Avenue,"8.0
Scored 8.0","₪ 1,636",17,"1,284 reviews"
Booking,3,07 June 2024,8 June 2024,9 June 2024,1,1,Ace Hotel New York,"7.9
Scored 7.9","₪ 1,872",18,"1,708 reviews"
